01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len,20:nstates
1,apalache,NoError,,4,,1,4,515,864,5,
2,tlc,NoError,,4,,,,,,,4
3,apalache,NoError,,15,,1,4,2585,6312,7,
4,tlc,NoError,,14,,,,,,,214
5,apalache,NoError,,10,,1,4,30335,211134,7,
6,tlc,Error,,0,,,,,,,0
7,apalache,Timeout,,22,,1,4,64648,451823,7,
8,tlc,Error,,0,,,,,,,0
9,apalache,NoError,,7,,1,3,2895,6682,10,
10,tlc,NoError,,5,,,,,,,64
11,apalache,Timeout,,7,,1,3,4607,15719,11,
12,tlc,NoError,,9,,,,,,,1404928
13,apalache,NoError,,10,,1,4,8314,17716,9,
14,tlc,NoError,,2,,,,,,,5
15,apalache,NoError,,10,,1,4,27989,69791,10,
16,tlc,Timeout,,5,,,,,,,3077
17,apalache,NoError,,10,,1,5,3972,8256,7,
18,tlc,NoError,,7,,,,,,,1803
19,apalache,NoError,,30,,1,5,18997,58114,7,
20,tlc,Timeout,,7,,,,,,,47956750
21,apalache,Timeout,,10,,1,8,14931,38905,8,
22,tlc,Timeout,,18,,,,,,,47148676
23,apalache,NoError,,11,,1,7,3072,9514,6,
24,tlc,NoError,,11,,,,,,,288
25,apalache,Timeout,,10,,1,7,3755,12954,6,
26,tlc,NoError,,23,,,,,,,296448
27,apalache,Timeout,,30,,1,4,38688,86589,8,
28,tlc,Fail,,0,,,,,,,0
29,apalache,Fail,,30,,1,4,45568,102806,8,
